"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","376","Sort Name A to Z","","Sun Aug 10 14:55:41 UTC 2025","passed","Sun Aug 10 14:55:41 UTC 2025","","product.spec.ts","",""
"","734","Click remove button","","Sun Aug 10 14:55:38 UTC 2025","passed","Sun Aug 10 14:55:38 UTC 2025","","cart.spec.ts","",""
"","477","Add more product to Cart","","Sun Aug 10 14:55:43 UTC 2025","passed","Sun Aug 10 14:55:43 UTC 2025","","product.spec.ts","",""
"","2746","has title","firefox","Sun Aug 03 07:18:28 UTC 2025","passed","Sun Aug 03 07:18:31 UTC 2025","","example.spec.ts","",""
"","320","Login with valid value","","Sun Aug 10 14:55:40 UTC 2025","passed","Sun Aug 10 14:55:41 UTC 2025","","Login.spec.ts","",""
"","386","Sort Name Z to A","","Sun Aug 10 14:55:41 UTC 2025","passed","Sun Aug 10 14:55:41 UTC 2025","","product.spec.ts","",""
"","532","Checkout product","","Sun Aug 10 14:55:39 UTC 2025","passed","Sun Aug 10 14:55:40 UTC 2025","","cart.spec.ts","",""
"","378","Sort Price (low to high)","","Sun Aug 10 14:55:41 UTC 2025","passed","Sun Aug 10 14:55:42 UTC 2025","","product.spec.ts","",""
"","1948","has title","webkit","Sun Aug 03 07:18:28 UTC 2025","passed","Sun Aug 03 07:18:30 UTC 2025","","example.spec.ts","",""
"","480","Click Continute Shopping","","Sun Aug 10 14:55:39 UTC 2025","passed","Sun Aug 10 14:55:39 UTC 2025","","cart.spec.ts","",""
"","2606","has title","","Sun Aug 03 07:23:07 UTC 2025","passed","Sun Aug 03 07:23:10 UTC 2025","","example.spec.ts","",""
"","5706","get started link","chromium","Sun Aug 03 07:18:28 UTC 2025","passed","Sun Aug 03 07:18:34 UTC 2025","","example.spec.ts","",""
"","5869","has title","chromium","Sun Aug 03 07:18:28 UTC 2025","passed","Sun Aug 03 07:18:34 UTC 2025","","example.spec.ts","",""
"","278","Login with invalid password","","Sun Aug 10 14:55:40 UTC 2025","passed","Sun Aug 10 14:55:40 UTC 2025","","Login.spec.ts","",""
"","2902","get started link","","Sun Aug 03 07:23:07 UTC 2025","passed","Sun Aug 03 07:23:10 UTC 2025","","example.spec.ts","",""
"","316","Don't input value","","Sun Aug 10 14:55:40 UTC 2025","passed","Sun Aug 10 14:55:40 UTC 2025","","Login.spec.ts","",""
"","434","Click add to cart button at Sauce Labs Backpack","","Sun Aug 10 14:55:42 UTC 2025","passed","Sun Aug 10 14:55:43 UTC 2025","","product.spec.ts","",""
"","1572","Login with valid value","","Sat Aug 09 09:46:09 UTC 2025","passed","Sat Aug 09 09:46:10 UTC 2025","","login.spec.ts","",""
"","3096","get started link","webkit","Sun Aug 03 07:18:28 UTC 2025","passed","Sun Aug 03 07:18:31 UTC 2025","","example.spec.ts","",""
"","1374","Don't input value","","Sat Aug 09 09:46:07 UTC 2025","passed","Sat Aug 09 09:46:09 UTC 2025","","login.spec.ts","",""
"","1387","Login with invalid password","","Sat Aug 09 09:46:09 UTC 2025","passed","Sat Aug 09 09:46:10 UTC 2025","","login.spec.ts","",""
"","3533","get started link","firefox","Sun Aug 03 07:18:28 UTC 2025","passed","Sun Aug 03 07:18:32 UTC 2025","","example.spec.ts","",""
"","375","Sort Price (high to low)","","Sun Aug 10 14:55:42 UTC 2025","passed","Sun Aug 10 14:55:42 UTC 2025","","product.spec.ts","",""
