"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3096","get started link","webkit","2025-08-03","passed","2025-08-03","","example.spec.ts","",""
"","5706","get started link","chromium","2025-08-03","passed","2025-08-03","","example.spec.ts","",""
"","1499","Login with invalid password","","2025-08-09","passed","2025-08-09","","login.spec.ts","",""
"","5869","has title","chromium","2025-08-03","passed","2025-08-03","","example.spec.ts","",""
"","1583","Login row 4","","2026-05-30","passed","2026-05-30","Login","Login.spec.ts","",""
"","1631","Login row 2","chromium","2026-05-30","passed","2026-05-30","Login","Login.spec.ts","",""
"","2833","Click remove button","chromium","2026-05-30","passed","2026-05-30","","cart.spec.ts","",""
"","1557","Login with valid value","","2025-08-05","passed","2025-08-05","","Login.spec.ts","",""
"","3533","get started link","firefox","2025-08-03","passed","2025-08-03","","example.spec.ts","",""
"","1912","Login row 3","chromium","2026-05-30","passed","2026-05-30","Login","Login.spec.ts","",""
"","1828","Add more product to Cart","chromium","2026-05-30","passed","2026-05-30","","product.spec.ts","",""
"","2507","Click Continute Shopping","","2026-05-30","passed","2026-05-30","","cart.spec.ts","",""
"","1716","Sort Price (high to low)","chromium","2026-05-30","passed","2026-05-30","","product.spec.ts","",""
"","1870","Login row 2","","2026-05-30","passed","2026-05-30","Login","Login.spec.ts","",""
"","1714","Don't input value","","2025-08-05","passed","2025-08-05","","Login.spec.ts","",""
"","5061","Sort Name Z to A","chromium","2026-05-30","passed","2026-05-30","","product.spec.ts","",""
"","1464","Login with valid value","","2025-08-09","passed","2025-08-09","","login.spec.ts","",""
"","1840","Sort Name Z to A","","2026-05-30","passed","2026-05-30","","product.spec.ts","",""
"","2746","has title","firefox","2025-08-03","passed","2025-08-03","","example.spec.ts","",""
"","1260","Login with invalid password","","2025-08-05","passed","2025-08-05","","Login.spec.ts","",""
"","1740","Add more product to Cart","","2026-05-30","passed","2026-05-30","","product.spec.ts","",""
"","1505","Sort Price (low to high)","chromium","2026-05-30","passed","2026-05-30","","product.spec.ts","",""
"","3454","Sort Name A to Z","chromium","2026-05-30","passed","2026-05-30","","product.spec.ts","",""
"","2191","Sort Price (low to high)","","2026-05-30","passed","2026-05-30","","product.spec.ts","",""
"","2250","Login row 1","","2026-05-30","passed","2026-05-30","Login","Login.spec.ts","",""
"","1632","Checkout product","chromium","2026-05-30","passed","2026-05-30","","cart.spec.ts","",""
"","1535","authenticate","setup","2026-05-30","passed","2026-05-30","","auth.setup.ts","",""
"","2172","Sort Price (high to low)","","2026-05-30","passed","2026-05-30","","product.spec.ts","",""
"","1367","Login row 1","chromium","2026-05-30","passed","2026-05-30","Login","Login.spec.ts","",""
"","1763","Sort Name A to Z","","2026-05-30","passed","2026-05-30","","product.spec.ts","",""
"","2277","Click remove button","","2026-05-30","passed","2026-05-30","","cart.spec.ts","",""
"","1575","Click add to cart button at Sauce Labs Backpack","chromium","2026-05-30","passed","2026-05-30","","product.spec.ts","",""
"","1801","Login row 3","","2026-05-30","passed","2026-05-30","Login","Login.spec.ts","",""
"","1948","has title","webkit","2025-08-03","passed","2025-08-03","","example.spec.ts","",""
"","2606","has title","","2025-08-03","passed","2025-08-03","","example.spec.ts","",""
"","2902","get started link","","2025-08-03","passed","2025-08-03","","example.spec.ts","",""
"","1803","Click add to cart button at Sauce Labs Backpack","","2026-05-30","passed","2026-05-30","","product.spec.ts","",""
"","1362","Don't input value","","2025-08-09","passed","2025-08-09","","login.spec.ts","",""
"","2022","Click Continute Shopping","chromium","2026-05-30","passed","2026-05-30","","cart.spec.ts","",""
"","2101","Login row 4","chromium","2026-05-30","passed","2026-05-30","Login","Login.spec.ts","",""
"","1882","Checkout product","","2026-05-30","passed","2026-05-30","","cart.spec.ts","",""
