"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1233","Login row 3","chromium","2026-08-31","passed","2026-08-31","Login","Login.spec.ts","",""
"","462","authenticate","setup","2026-08-31","passed","2026-08-31","","auth.setup.ts","",""
"","344","Sort Name Z to A","chromium","2026-08-31","passed","2026-08-31","","product.spec.ts","",""
"","1109","Complete checkout process","chromium","2026-08-31","passed","2026-08-31","","cart.spec.ts","",""
"","820","Click add to cart button at Sauce Labs Backpack","chromium","2026-08-31","passed","2026-08-31","","product.spec.ts","",""
"","1328","Login row 1","chromium","2026-08-31","passed","2026-08-31","Login","Login.spec.ts","",""
"","331","Sort Price (high to low)","chromium","2026-08-31","passed","2026-08-31","","product.spec.ts","",""
"","1198","Login row 2","chromium","2026-08-31","passed","2026-08-31","Login","Login.spec.ts","",""
"","319","Sort Price (low to high)","chromium","2026-08-31","passed","2026-08-31","","product.spec.ts","",""
"","856","Add more product to Cart","chromium","2026-08-31","passed","2026-08-31","","product.spec.ts","",""
"","1067","Continue shopping from cart","chromium","2026-08-31","passed","2026-08-31","","cart.spec.ts","",""
"","306","Sort Name A to Z","chromium","2026-08-31","passed","2026-08-31","","product.spec.ts","",""
"","4084","Login row 4","chromium","2026-08-31","passed","2026-08-31","Login","Login.spec.ts","",""
"","1077","Remove item from cart","chromium","2026-08-31","passed","2026-08-31","","cart.spec.ts","",""
